regiao,estado,coduf,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Norte,Rondônia,11,04/06/2020,23,1777225,6459,746,194,14
Norte,AC,12,04/06/2020,23,881935,7021,342,181,10
Norte,AM,13,04/06/2020,23,4144597,46473,2126,2183,45
Norte,RR,14,04/06/2020,23,605761,4483,340,127,3
Norte,PA,15,04/06/2020,23,8602865,48049,3275,3416,223
Norte,AP,16,04/06/2020,23,845731,11551,444,254,7
Norte,TO,17,04/06/2020,23,1572866,4881,183,87,5
Nordeste,MA,21,04/06/2020,23,7075181,40629,2455,1062,34
Nordeste,PI,22,04/06/2020,23,3273227,6064,236,202,10
Nordeste,CE,23,04/06/2020,23,9132078,59795,3739,3813,208
Nordeste,RN,24,04/06/2020,23,3506853,9282,133,378,11
Nordeste,PB,25,04/06/2020,23,4018127,17579,1561,438,24
Nordeste,PE,26,04/06/2020,23,9557071,37507,1044,3134,122
Nordeste,AL,27,04/06/2020,23,3337357,13097,690,531,25
Nordeste,SE,28,04/06/2020,23,2298696,8200,211,186,6
Nordeste,BA,29,04/06/2020,23,14873064,23463,1012,790,28
Sudeste,MG,31,04/06/2020,23,21168791,13034,1024,323,17
Sudeste,ES,32,04/06/2020,23,4018650,16894,773,737,39
Sudeste,RJ,33,04/06/2020,23,17264943,60932,1692,6327,317
Sudeste,SP,35,04/06/2020,23,45919049,129200,5717,8560,284
Sul,PR,41,04/06/2020,23,11433957,5820,326,215,10
Sul,SC,42,04/06/2020,23,7164788,10532,498,156,4
Sul,RS,43,04/06/2020,23,11377239,11010,612,265,7
Centro-Oeste,MS,50,04/06/2020,23,2778986,1925,123,20,0
Centro-Oeste,MT,51,04/06/2020,23,3484466,3194,346,82,6
Centro-Oeste,GO,52,04/06/2020,23,7018354,4944,374,164,9
Centro-Oeste,DF,53,04/06/2020,23,3015268,12923,903,196,5
