date,state,deaths,cases
03/06/2020,AL,653,18851
03/06/2020,AK,8,516
03/06/2020,AZ,983,22245
03/06/2020,AR ,142,8067
03/06/2020,CA,4422,120407
03/06/2020,CO,1494,27046
03/06/2020,CT,3989,43091
03/06/2020,DE ,375,9712
03/06/2020,DC,473,9016
03/06/2020,FL ,2565,58756
03/06/2020,GA,2092,46711
03/06/2020,GU,6,1146
03/06/2020,HI,17,643
03/06/2020,ID,83,2990
03/06/2020,IL,5665,124279
03/06/2020,IN,2207,36609
03/06/2020,IA,574,20376
03/06/2020,KS,227,10281
03/06/2020,KY,458,10485
03/06/2020,LA ,2870,41244
03/06/2020,ME ,95,2418
03/06/2020,MD ,2641,55617
03/06/2020,MA,7152,101592
03/06/2020,MI ,5579,58990
03/06/2020,MN ,1097,25881
03/06/2020,MS,782,16322
03/06/2020,MO,801,14020
03/06/2020,MT ,17,525
03/06/2020,NE,188,14866
03/06/2020,NV ,429,8950
03/06/2020,NH ,265,4795
03/06/2020,NJ ,11880,162068
03/06/2020,NM,375,8140
03/06/2020,NY ,29918,378924
03/06/2020,NC ,971,31013
03/06/2020,ND,69,2682
03/06/2020,MP,2,24
03/06/2020,OH,2299,36792
03/06/2020,OK,341,6805
03/06/2020,OR,159,4399
03/06/2020,PA,5742,77871
03/06/2020,PR,140,4023
03/06/2020,RI,742,15219
03/06/2020,SC,518,12651
03/06/2020,SD,62,5162
03/06/2020,TN,386,25024
03/06/2020,TX,1766,69546
03/06/2020,UT,117,10558
03/06/2020,VT,55,990
03/06/2020,VI,6,70
03/06/2020,VA,1428,46905
03/06/2020,WA,1145,23500
03/06/2020,WV,78,2077
03/06/2020,WI,618,19614
03/06/2020,WY,17,915
