date,county,state,fips,cases,deaths
2020-06-03,Autauga,Alabama,1001.0,240,5
2020-06-03,Baldwin,Alabama,1003.0,308,9
2020-06-03,Barbour,Alabama,1005.0,178,1
2020-06-03,Bibb,Alabama,1007.0,79,1
2020-06-03,Blount,Alabama,1009.0,65,1
2020-06-03,Bullock,Alabama,1011.0,216,6
2020-06-03,Butler,Alabama,1013.0,421,18
2020-06-03,Calhoun,Alabama,1015.0,173,3
2020-06-03,Chambers,Alabama,1017.0,371,26
2020-06-03,Cherokee,Alabama,1019.0,39,3
2020-06-03,Chilton,Alabama,1021.0,109,1
2020-06-03,Choctaw,Alabama,1023.0,154,10
2020-06-03,Clarke,Alabama,1025.0,150,2
2020-06-03,Clay,Alabama,1027.0,28,2
2020-06-03,Cleburne,Alabama,1029.0,15,1
2020-06-03,Coffee,Alabama,1031.0,242,1
2020-06-03,Colbert,Alabama,1033.0,190,2
2020-06-03,Conecuh,Alabama,1035.0,41,1
2020-06-03,Coosa,Alabama,1037.0,40,1
2020-06-03,Covington,Alabama,1039.0,86,1
2020-06-03,Crenshaw,Alabama,1041.0,81,3
2020-06-03,Cullman,Alabama,1043.0,154,1
2020-06-03,Dale,Alabama,1045.0,125,0
2020-06-03,Dallas,Alabama,1047.0,287,3
2020-06-03,DeKalb,Alabama,1049.0,261,3
2020-06-03,Elmore,Alabama,1051.0,383,9
2020-06-03,Escambia,Alabama,1053.0,75,3
2020-06-03,Etowah,Alabama,1055.0,266,12
2020-06-03,Fayette,Alabama,1057.0,18,0
2020-06-03,Franklin,Alabama,1059.0,581,8
2020-06-03,Geneva,Alabama,1061.0,44,0
2020-06-03,Greene,Alabama,1063.0,95,4
2020-06-03,Hale,Alabama,1065.0,183,9
2020-06-03,Henry,Alabama,1067.0,81,2
2020-06-03,Houston,Alabama,1069.0,236,5
2020-06-03,Jackson,Alabama,1071.0,86,3
2020-06-03,Jefferson,Alabama,1073.0,1913,104
2020-06-03,Lamar,Alabama,1075.0,26,0
2020-06-03,Lauderdale,Alabama,1077.0,170,2
2020-06-03,Lawrence,Alabama,1079.0,52,0
2020-06-03,Lee,Alabama,1081.0,573,34
2020-06-03,Limestone,Alabama,1083.0,110,0
2020-06-03,Lowndes,Alabama,1085.0,261,12
2020-06-03,Macon,Alabama,1087.0,88,4
2020-06-03,Madison,Alabama,1089.0,367,4
2020-06-03,Marengo,Alabama,1091.0,175,6
2020-06-03,Marion,Alabama,1093.0,128,11
2020-06-03,Marshall,Alabama,1095.0,709,9
2020-06-03,Mobile,Alabama,1097.0,2293,118
2020-06-03,Monroe,Alabama,1099.0,45,2
2020-06-03,Montgomery,Alabama,1101.0,1845,44
2020-06-03,Morgan,Alabama,1103.0,303,1
2020-06-03,Perry,Alabama,1105.0,42,0
2020-06-03,Pickens,Alabama,1107.0,121,5
2020-06-03,Pike,Alabama,1109.0,209,0
2020-06-03,Randolph,Alabama,1111.0,131,7
2020-06-03,Russell,Alabama,1113.0,179,0
